classe1,classe2,classe3,classe4,classe5,classe6,codigo,codigo_pai,dispositivo_legal,artigo,sigla,alteracoes,glossario,dt_publicacao,dt_alteracao,dt_inativacao,dt_reativacao
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,-,-,-,-,-,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Execução da Pena,-,-,-,-,386,385,LEP; CPPM,194 a 196 (LEP);  588 a 593 (CPPM),ExPe,NA,"Abrange as execuções de pena privativa de liberdade.

	Lei das Execuções Penais - Lei 7.210/1984

	Art. 194. O procedimento correspondente às situações previstas nesta Lei será judicial, desenvolvendo-se perante o Juízo da execução.

	Art. 195. O procedimento judicial iniciar-se-á de ofício, a requerimento do Ministério Público, do interessado, de quem o represente, de seu cônjuge, parente ou descendente, mediante proposta do Conselho Penitenciário, ou, ainda, da autoridade administrativa.

	Art. 196. A portaria ou petição será autuada ouvindo-se, em 3 (três) dias, o condenado e o Ministério Público, quando não figurem como requerentes da medida.

	§ 1º Sendo desnecessária a produção de prova, o Juiz decidirá de plano, em igual prazo.

	§ 2º Entendendo indispensável a realização de prova pericial ou oral, o Juiz a ordenará, decidindo após a produção daquela ou na audiência designada.

	 

	CPPM

	Art. 6º - Obedecerão às normas processuais previstas neste Código, no que forem aplicáveis, salvo quanto à organização de Justiça, aos recursos e à execução de sentença, os processos da Justiça Militar Estadual, nos crimes previstos na Lei Penal Militar a que responderem os oficiais e praças das Polícias e dos Corpos de Bombeiros, Militares.

	Art 588. A execução da sentença compete ao auditor da Auditoria por onde correu o processo, ou, nos casos de competência originária do Superior Tribunal Militar, ao seu presidente.

	      

	        Art 589. Será integralmente levado em conta, no cumprimento da pena, o tempo de prisão provisória, salvo o disposto no art.         268.

	       

	        Art 590. Todos os incidentes da execução serão decididos pelo auditor, ou pelo presidente do Superior Tribunal Militar, se fôr o caso.

	 

	        Art. 591. Verificando nos processos pendentes de apelação, únicamente interposta pelo réu, que êste já sofreu prisão por tempo igual ao da pena a que foi condenado, mandará o relator pô-lo imediatamente em liberdade.

	 

	        Art. 592. Sòmente depois de passada em julgado, será exeqüível a sentença.

	 

	        Art 593. O presidente, no caso de sentença proferida originariamente pelo Tribunal, e o auditor, nos demais casos, comunicarão à autoridade, sob cujas ordens estiver o réu, a sentença definitiva, logo que transite em julgado.",NA,2020-06-05T13:43:28Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Execução de Medida de Segurança,-,-,-,-,11399,385,LEP,171 a 174,ExeMS,NA,"Da Execução das Medidas de Segurança CAPÍTULO I Disposições Gerais Art. 171. Transitada em julgado a sentença que aplicar medida de segurança, será ordenada a expedição de guia para a execução. Art. 172. Ninguém será internado em Hospital de Custódia e Tratamento Psiquiátrico, ou submetido a tratamento ambulatorial, para cumprimento de medida de segurança, sem a guia expedida pela autoridade judiciária. Art. 173. A guia de internamento ou de tratamento ambulatorial, extraída pelo escrivão, que a rubricará em todas as folhas e a subscreverá com o Juiz, será remetida à autoridade administrativa incumbida da execução e conterá: I - a qualificação do agente e o número do registro geral do órgão oficial de identificação; II - o inteiro teor da denúncia e da sentença que tiver aplicado a medida de segurança, bem como a certidão do trânsito em julgado; III - a data em que terminará o prazo mínimo de internação, ou do tratamento ambulatorial; IV - outras peças do processo reputadas indispensáveis ao adequado tratamento ou internamento. § 1° Ao Ministério Público será dada ciência da guia de recolhimento e de sujeição a tratamento. § 2° A guia será retificada sempre que sobrevier modificações quanto ao prazo de execução. Art. 174. Aplicar-se-á, na execução da medida de segurança, naquilo que couber, o disposto nos artigos 8° e 9° desta Lei.",2009-10-06T00:00:00Z,2020-06-05T13:59:42Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Execução de Medidas Alternativas no Juízo Comum,-,-,-,-,12729,385,CPP,28-A,ExMedAltJC,NA,"Esta classe não deve ser usada nos Juizados Especiais.

	Art. 28-A - não sendo caso de arquivamento e tendo o investigado confessado formal e circunstancialmente a prática de infração penal sem violência ou grave ameaça e com pena mínima inferior a 4 (quatro) anos, o Ministério Público poderá propor acordo de não persecução penal, desde que necessário e suficiente para reprovação e prevenção do crime, mediante as seguintes condições ajustadas cumulativa e alternativamente: [...] ... § 6º Homologado judicialmente o acordo de não persecução penal, o juiz devolverá os autos ao Ministério Público para que inicie sua execução perante o juízo de execução penal.",2020-06-05T00:00:00Z,2021-05-28T14:42:36Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Execução de Pena de Multa,-,-,-,-,12727,385,NA,NA,ExePenMul,NA,NA,2020-06-05T00:00:00Z,NA,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Execução Provisória,-,-,-,-,1714,385,LEP,"art. 2º, parágrafo único",ExeProv,NA,"Lei 7210/84 Art. 2º....... Parágrafo único. Esta Lei aplicar-se-á igualmente ao preso provisório e ao condenado pela Justiça Eleitoral ou Militar, quando recolhido a estabelecimento sujeito à jurisdição ordinária.",NA,2020-06-05T13:59:58Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,-,-,-,-,406,385,NA,NA,Inc,NA,NA,NA,2020-06-05T13:57:30Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,Anistia,-,-,-,409,406,LEP e CPPM,187 (LEP) e  650 (CPPM),Anisti,NA,"LEP

	Art. 187. Concedida a anistia, o Juiz, de ofício, a requerimento do interessado ou do Ministério Público, por proposta da autoridade administrativa ou do Conselho Penitenciário, declarará extinta a punibilidade.

	CPPM

	Art. 650 - Concedida a anistia, após transitar em julgado a sentença condenatória, o auditor, de ofício, ou por iniciativa do interessado ou do Ministério Público, declarará extinta a punibilidade

	Classe FACULTATIVA, por força da Resolução CNJ nº 113/2010. A concessão ou não deve sempre ser registrada através da movimentação adequada.",NA,2020-06-05T13:57:35Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,Comutação de Pena,-,-,-,411,406,LEP e CPPM,"70, I (LEP) e  643 a 649 (CPPM)",ComPen,NA,"LEP

	Art. 70. Incumbe ao Conselho Penitenciário: I - emitir parecer sobre indulto e comutação de pena, excetuada a hipótese de pedido de indulto com base no estado de saúde do preso; (Redação dada pela Lei nº 10.792, de 1º.12.2003)

	  CPPM

	Art 643- O indulto e a comutação da pena são concedidos pelo presidente da República e poderão ser requeridos pelo condenado ou, se não souber escrever, por procurador ou pessoa a seu rôgo.

	        Art. 644. A petição será remetida ao ministro da Justiça, por intermédio do Conselho Penitenciário, se o condenado estiver cumprindo pena em penitenciária civil. 

	        Art. 645. O Conselho Penitenciário, à vista dos autos do processo, e depois de ouvir o diretor do estabelecimento penal a que estiver recolhido o condenado, fará, em relatório, a narração do fato criminoso, apreciará as provas, apontará qualquer formalidade ou circunstância omitida na petição e exporá os antecedentes do condenado, bem como seu procedimento durante a prisão, opinando, a final, sôbre o mérito do pedido. 

	      Art. 646. Em se tratando de condenado militar ou assemelhado, recolhido a presídio militar, a petição será encaminhada ao Ministério a que pertencer o condenado, por intermédio do comandante, ou autoridade equivalente, sob cuja administração estiver o presídio. 

	        Parágrafo único. A autoridade militar que encaminhar o pedido fará o relatório de que trata o art. 645. 

	      Art. 647. Se o presidente da República decidir, de iniciativa própria, conceder o indulto ou comutar a pena, ouvirá, antes, o Conselho Penitenciário ou a autoridade militar a que se refere o art. 646. 

	Art. 648. Concedido o indulto ou comutada a pena, o juiz de ofício, ou por iniciativa do interessado ou do Ministério Público, mandará juntar aos autos a cópia do decreto, a cujos têrmos ajustará a execução da pena, para modificá-la, ou declarar a extinção da punibilidade. 

	        Art. 649. O condenado poderá recusar o indulto ou a comutação da pena. 

	Classe FACULTATIVA, por força da Resolução CNJ nº 113/2010. A concessão ou não deve sempre ser registrada através da movimentação adequada.",NA,2020-06-05T13:57:40Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,Conversão de Pena,-,-,-,407,406,Código Penal e LEP,44 a 46  (CP); 180 e 181 (LEP),Conver,NA,"Deve ser usada tanto para pedidos de conversão de pena restritiva de liberdade em pena restritiva de direito quanto para pedidos de conversão de pena restritiva de direito em pena restritiva de liberdade.

	CP

	  Art. 44. As penas restritivas de direitos são autônomas e substituem as privativas de liberdade, quando: (Redação dada pela Lei nº 9.714, de 1998)

	        I – aplicada pena privativa de liberdade não superior a quatro anos e o crime não for cometido com violência ou grave ameaça à pessoa ou, qualquer que seja a pena aplicada, se o crime for culposo;(Redação dada pela Lei nº 9.714, de 1998)

	        II – o réu não for reincidente em crime doloso; (Redação dada pela Lei nº 9.714, de 1998)

	        III – a culpabilidade, os antecedentes, a conduta social e a personalidade do condenado, bem como os motivos e as circunstâncias indicarem que essa substituição seja suficiente. (Redação dada pela Lei nº 9.714, de 1998)

	        § 1o(VETADO)  (Incluído pela Lei nº 9.714, de 1998)

	        § 2o Na condenação igual ou inferior a um ano, a substituição pode ser feita por multa ou por uma pena restritiva de direitos; se superior a um ano, a pena privativa de liberdade pode ser substituída por uma pena restritiva de direitos e multa ou por duas restritivas de direitos.  (Incluído pela Lei nº 9.714, de 1998)

	        § 3o Se o condenado for reincidente, o juiz poderá aplicar a substituição, desde que, em face de condenação anterior, a medida seja socialmente recomendável e a reincidência não se tenha operado em virtude da prática do mesmo crime. (Incluído pela Lei nº 9.714, de 1998)

	        § 4o A pena restritiva de direitos converte-se em privativa de liberdade quando ocorrer o descumprimento injustificado da restrição imposta. No cálculo da pena privativa de liberdade a executar será deduzido o tempo cumprido da pena restritiva de direitos, respeitado o saldo mínimo de trinta dias de detenção ou reclusão.  (Incluído pela Lei nº 9.714, de 1998)

	        § 5o Sobrevindo condenação a pena privativa de liberdade, por outro crime, o juiz da execução penal decidirá sobre a conversão, podendo deixar de aplicá-la se for possível ao condenado cumprir a pena substitutiva anterior. (Incluído pela Lei nº 9.714, de 1998)

	        Conversão das penas restritivas de direitos

	        Art. 45. Na aplicação da substituição prevista no artigo anterior, proceder-se-á na forma deste e dos arts. 46, 47 e 48. (Redação dada pela Lei nº 9.714, de 1998)

	        § 1o A prestação pecuniária consiste no pagamento em dinheiro à vítima, a seus dependentes ou a entidade pública ou privada com destinação social, de importância fixada pelo juiz, não inferior a 1 (um) salário mínimo nem superior a 360 (trezentos e sessenta) salários mínimos. O valor pago será deduzido do montante de eventual condenação em ação de reparação civil, se coincidentes os beneficiários. (Incluído pela Lei nº 9.714, de 1998)

	        § 2o No caso do parágrafo anterior, se houver aceitação do beneficiário, a prestação pecuniária pode consistir em prestação de outra natureza. (Incluído pela Lei nº 9.714, de 1998)

	        § 3o A perda de bens e valores pertencentes aos condenados dar-se-á, ressalvada a legislação especial, em favor do Fundo Penitenciário Nacional, e seu valor terá como teto – o que for maior – o montante do prejuízo causado ou do provento obtido pelo agente ou por terceiro, em conseqüência da prática do crime. (Incluído pela Lei nº 9.714, de 1998)

	        § 4o(VETADO) (Incluído pela Lei nº 9.714, de 1998)

	        Prestação de serviços à comunidade ou a entidades públicas

	        Art. 46. A prestação de serviços à comunidade ou a entidades públicas é aplicável às condenações superiores a seis meses de privação da liberdade. (Redação dada pela Lei nº 9.714, de 1998)

	        § 1o A prestação de serviços à comunidade ou a entidades públicas consiste na atribuição de tarefas gratuitas ao condenado.  (Incluído pela Lei nº 9.714, de 1998)

	        § 2o A prestação de serviço à comunidade dar-se-á em entidades assistenciais, hospitais, escolas, orfanatos e outros estabelecimentos congêneres, em programas comunitários ou estatais. (Incluído pela Lei nº 9.714, de 1998)

	        § 3o As tarefas a que se refere o § 1o serão atribuídas conforme as aptidões do condenado, devendo ser cumpridas à razão de uma hora de tarefa por dia de condenação, fixadas de modo a não prejudicar a jornada normal de trabalho. (Incluído pela Lei nº 9.714, de 1998)

	        § 4o Se a pena substituída for superior a um ano, é facultado ao condenado cumprir a pena substitutiva em menor tempo (art. 55), nunca inferior à metade da pena privativa de liberdade fixada. (Incluído pela Lei nº 9.714, de 1998)

	LEP

	Art. 180. A pena privativa de liberdade, não superior a 2 (dois) anos, poderá ser convertida em restritiva de direitos, desde que:

	I - o condenado a esteja cumprindo em regime aberto;

	II - tenha sido cumprido pelo menos 1/4 (um quarto) da pena;

	III - os antecedentes e a personalidade do condenado indiquem ser a conversão recomendável.

	Art. 181. A pena restritiva de direitos será convertida em privativa de liberdade nas hipóteses e na forma do artigo 45 e seus incisos do Código Penal.

	§ 1º A pena de prestação de serviços à comunidade será convertida quando o condenado:

	a) não for encontrado por estar em lugar incerto e não sabido, ou desatender a intimação por edital;

	b) não comparecer, injustificadamente, à entidade ou programa em que deva prestar serviço;

	c) recusar-se, injustificadamente, a prestar o serviço que lhe foi imposto;

	d) praticar falta grave;

	e) sofrer condenação por outro crime à pena privativa de liberdade, cuja execução não tenha sido suspensa.

	§ 2º A pena de limitação de fim de semana será convertida quando o condenado não comparecer ao estabelecimento designado para o cumprimento da pena, recusar-se a exercer a atividade determinada pelo Juiz ou se ocorrer qualquer das hipóteses das letras ""a"", ""d"" e ""e"" do parágrafo anterior.

	§ 3º A pena de interdição temporária de direitos será convertida quando o condenado exercer, injustificadamente, o direito interditado ou se ocorrer qualquer das hipóteses das letras ""a"" e ""e"", do § 1º, deste artigo.

	Classe FACULTATIVA, por força da Resolução CNJ nº 113/2010. A concessão ou não deve sempre ser registrada através da movimentação adequada.",NA,2020-06-05T13:57:44Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,Excesso ou Desvio,-,-,-,408,406,LEP,185 e 186,ExcDes,NA,"Art. 185. Haverá excesso ou desvio de execução sempre que algum ato for praticado além dos limites fixados na sentença, em normas legais ou regulamentares.

	Art. 186. Podem suscitar o incidente de excesso ou desvio de execução:

	I - o Ministério Público;

	II - o Conselho Penitenciário;

	III - o sentenciado;

	IV - qualquer dos demais órgãos da execução penal.

	Classe FACULTATIVA, por força da Resolução CNJ nº 113/2010. A concessão ou não deve sempre ser registrada através da movimentação adequada.",NA,2020-06-05T13:57:49Z,NA,NA
EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,Incidentes,Indulto,-,-,-,410,406,LEP e CPPM,188 a 193 (LEP) ;  643 a 649 (CPPM),Indult,NA,"LEP

	Art. 188. O indulto individual poderá ser provocado por petição do condenado, por iniciativa do Ministério Público, do Conselho Penitenciário, ou da autoridade administrativa.

	Art. 189. A petição do indulto, acompanhada dos documentos que a instruírem, será entregue ao Conselho Penitenciário, para a elaboração de parecer e posterior encaminhamento ao Ministério da Justiça.

	Art. 190. O Conselho Penitenciário, à vista dos autos do processo e do prontuário, promoverá as diligências que entender necessárias e fará, em relatório, a narração do ilícito penal e dos fundamentos da sentença condenatória, a exposição dos antecedentes do condenado e do procedimento deste depois da prisão, emitindo seu parecer sobre o mérito do pedido e esclarecendo qualquer formalidade ou circunstâncias omitidas na petição.

	Art. 191. Processada no Ministério da Justiça com documentos e o relatório do Conselho Penitenciário, a petição será submetida a despacho do Presidente da República, a quem serão presentes os autos do processo ou a certidão de qualquer de suas peças, se ele o determinar.

	Art. 192. Concedido o indulto e anexada aos autos cópia do decreto, o Juiz declarará extinta a pena ou ajustará a execução aos termos do decreto, no caso de comutação.

	Art. 193. Se o sentenciado for beneficiado por indulto coletivo, o Juiz, de ofício, a requerimento do interessado, do Ministério Público, ou por iniciativa do Conselho Penitenciário ou da autoridade administrativa, providenciará de acordo com o disposto no artigo anterior.

	CPPM

	Art 643. O indulto e a comutação da pena são concedidos pelo presidente da República e poderão ser requeridos pelo condenado ou, se não souber escrever, por procurador ou pessoa a seu rôgo. 

	        Art. 644. A petição será remetida ao ministro da Justiça, por intermédio do Conselho Penitenciário, se o condenado estiver cumprindo pena em penitenciária civil. 

	        Art. 645. O Conselho Penitenciário, à vista dos autos do processo, e depois de ouvir o diretor do estabelecimento penal a que estiver recolhido o condenado, fará, em relatório, a narração do fato criminoso, apreciará as provas, apontará qualquer formalidade ou circunstância omitida na petição e exporá os antecedentes do condenado, bem como seu procedimento durante a prisão, opinando, a final, sôbre o mérito do pedido. 

	        Art. 646. Em se tratando de condenado militar ou assemelhado, recolhido a presídio militar, a petição será encaminhada ao Ministério a que pertencer o condenado, por intermédio do comandante, ou autoridade equivalente, sob cuja administração estiver o presídio. 

	        Parágrafo único. A autoridade militar que encaminhar o pedido fará o relatório de que trata o art. 645. 

	        Art. 647. Se o presidente da República decidir, de iniciativa própria, conceder o indulto ou comutar a pena, ouvirá, antes, o Conselho Penitenciário ou a autoridade militar a que se refere o art. 646. 

	        Art. 648. Concedido o indulto ou comutada a pena, o juiz de ofício, ou por iniciativa do interessado ou do Ministério Público, mandará juntar aos autos a cópia do decreto, a cujos têrmos ajustará a execução da pena, para modificá-la, ou declarar a extinção da punibilidade. 

	        Art. 649. O condenado poderá recusar o indulto ou a comutação da pena. 

	Classe FACULTATIVA, por força da Resolução CNJ nº 113/2010. A concessão ou não deve sempre ser registrada através da movimentação adequada.",NA,2020-06-05T13:57:54Z,NA,NA
